Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Metal plates","The structure of the pedals",1,114.83,"https://trade.jlcpcb.com/","JLCPCB (CNC/sheet metal section)"
"Endrod bearings","feedback assebly joint",3,9.45,"https://it.aliexpress.com/item/1005009480601086.html?spm=a2g0o.productlist.main.5.6579qfltqfltbc&algo_pvid=f58501ff-df69-49df-8633-513deee3c579&pdp_ext_f=%7B%22order%22%3A%221329%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009480601086%7C_p_origin_prod%3A","Aliexpress"
"688RS bearings","Pedal joints",6,7.95,"https://it.aliexpress.com/item/1005003726227462.html?spm=a2g0o.productlist.main.4.7f4bnRWunRWuoC&aem_p4p_detail=202606061353577763114754709440002419234&algo_pvid=a30aff5e-8d08-4b46-91af-285531d44fcd&pdp_ext_f=%7B%22order%22%3A%2253%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003726227462%7C_p_origin_prod%3A&search_p4p_id=202606061353577763114754709440002419234_1","Aliexpress"
"usb -> usb-c cable","Connecting pedals to pc",1,4.19,"https://www.aliexpress.com/item/1005006729452564.html?spm=a2g0o.cart.0.0.810a18fcCWE3qo&mp=1","Aliexpress"
"100Kg load cell","brake pedal sensing",1,18.34,"https://www.aliexpress.com/item/1005008298196979.html?spm=a2g0o.cart.0.0.18a118fcP8vIPM&mp=1&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22wholesale%22%7D%7D","Aliexpress"
"HX711 high precision","load cell controlling",1,1.56,"https://www.aliexpress.com/item/1005007284542958.html?spm=a2g0o.cart.0.0.18a118fcP8vIPM&mp=1","Aliexpress"
"M5 nuts and bolts","mounting the panels",1,16.00,"https://www.aliexpress.com/item/1005005478212295.html?spm=a2g0o.cart.0.0.78bb18fc2mM98V&mp=1","Aliexpress"
"m8 threaded rods","Brake feedback assemblies",3,11.14,"https://www.aliexpress.com/item/1005008512534705.html?spm=a2g0o.cart.0.0.18a118fcP8vIPM&mp=1","Aliexpress"
"M8 washers","brake stiffness",6,4.17,"https://www.aliexpress.com/item/1005009412753888.html?spm=a2g0o.cart.0.0.18a118fcP8vIPM&mp=1","Aliexpress"
"skateboard bushings 90a & 95a","brake stiffness",4,6.63,"https://www.aliexpress.com/item/1005006618326898.html?spm=a2g0o.cart.0.0.18a118fcP8vIPM&mp=1","Aliexpress"
"m8 self locking nuts","pedals feedback assembly",6,2.49,"https://www.aliexpress.com/item/1005009539464446.html?spm=a2g0o.cart.0.0.18a118fcP8vIPM&mp=1","Aliexpress"
"Diecast springs","rigidity feedback for the pedals",3,10.43,"https://www.aliexpress.com/item/1005006430460950.html?spm=a2g0o.cart.0.0.18a118fcP8vIPM&mp=1","Aliexpress"
"Ardiono Pro Micro","Controlling the input of the pedals",1,5.03,"https://www.aliexpress.com/item/32846843498.html?spm=a2g0o.cart.0.0.18a118fcP8vIPM&mp=1","Aliexpress"